,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,reco_primary_pix,reco_total_pix,reco_primary_deposition,reco_total_deposition,true_primary_pix,true_total_pix,true_primary_deposition,true_total_deposition,ke,true_ke
139,58,16,0.2999267578125,True,True,True,[52],[0.80625],119,148,31.74289894104004,37.34856414794922,141,141,41.149879455566406,41.149879455566406,46.15909194946289,47.60869551605465
140,58,23,0.29998779296875,True,False,True,[41],[0.8245614],104,104,22.44949722290039,22.44949722290039,104,104,22.670434951782227,22.670434951782227,27.74533462524414,26.891676252453188
141,58,25,0.5999755859375,False,True,True,[27],[0.67407405],106,106,30.870590209960938,30.870590209960938,105,120,34.47060012817383,38.95718002319336,38.1529655456543,51.913736480564744
142,58,57,0.89996337890625,True,True,True,[76],[0.8380282],78,139,24.972745895385742,45.08201599121094,73,122,23.802486419677734,39.5682487487793,55.71686553955078,49.71312907774805
143,59,79,0.29998779296875,True,True,True,[67],[0.29411766],6,8,2.2459065914154053,2.896021604537964,-1,-1,-1.0,-1.0,3.579193115234375,-1.0
144,59,194,0.29998779296875,True,False,True,[191   7],[0.8819444  0.00431965],136,136,38.681251525878906,38.681251525878906,135,135,37.29728698730469,37.29728698730469,47.80615997314453,45.75722699978708
145,59,196,0.29998779296875,True,False,True,[54 40],[8.9784944e-01 2.6816840e-04],180,180,29.933053970336914,29.933053970336914,173,173,33.12501525878906,33.12501525878906,36.9942626953125,38.34222440652401
146,59,198,0.7347921064513595,True,True,True,[121],[0.8540146],124,124,25.78005027770996,25.78005027770996,130,130,29.81663703918457,29.81663703918457,31.86156463623047,42.036103405845886
147,60,4,0.29998779296875,False,True,True,[51 40],[0.79310346 0.0075188 ],81,81,25.14535903930664,25.14535903930664,75,75,17.88463020324707,17.88463020324707,31.077150344848633,22.504047847420907
148,60,47,0.2999267578125,True,True,True,[158],[0.90643275],131,160,30.619354248046875,37.14863204956055,133,166,35.651092529296875,44.21269989013672,45.91199493408203,51.44678079980345
149,60,126,0.29998779296875,True,False,True,[134],[0.78680205],119,183,28.341327667236328,46.56852340698242,117,169,21.45020866394043,34.0888557434082,57.554039001464844,39.68926500921169
150,61,2,0.300048828125,True,False,True,[35 24],[0.62091506 0.00087873],117,136,21.062814712524414,26.969892501831055,94,112,20.27174949645996,26.61477279663086,33.33209228515625,31.694761598843353
151,61,34,0.29998779296875,True,True,True,[32],[0.62711865],38,38,10.730751991271973,10.730751991271973,58,58,15.65357494354248,15.65357494354248,13.262136459350586,19.16450751921461
152,61,39,0.3000030517578125,True,False,True,[64],[0.88],71,71,15.347990036010742,15.347990036010742,70,70,13.457886695861816,13.457886695861816,18.968582153320312,35.782355634386874
