,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,primary_pix,total_pix,primary_deposition,total_deposition,ke
108,43,29,0.2999267578125,False,True,True,[6 7],[0.7222222  0.02366864],18,18,7.302062511444092,7.302062511444092,23.457560517685266
109,43,82,0.29998779296875,True,True,True,[4 5],[9.4520545e-01 7.4850302e-04],72,72,22.601762771606445,22.601762771606445,33.65044079006054
110,44,73,0.29998779296875,True,True,True,[45 46],[0.8865248  0.00184502],137,137,26.665023803710938,26.665023803710938,37.640408118413106
111,45,29,1.3747667159302348,False,True,True,[20 21],[0.54320985 0.2413793 ],117,143,31.784273147583008,39.89226531982422,43.620722118511694
112,45,65,0.424289965930668,True,True,True,[103],[0.375],68,68,10.893645286560059,10.893645286560059,49.01613650101595
113,45,97,1.5297154308103145,True,True,True,[105],[0.8965517],136,136,28.25217056274414,28.25217056274414,30.649025859131964
114,46,36,inf,False,False,True,[27],[0.81764704],133,149,34.984710693359375,39.91631317138672,48.51827327177522
115,46,40,0.2999267578125,True,True,True,[59 60],[0.8243243  0.00172811],35,132,6.785192012786865,29.83513832092285,32.54094354933201
116,46,73,0.29998779296875,True,True,True,[7],[0.625],88,88,21.149089813232422,21.149089813232422,29.191548067685176
117,46,76,0.29998779296875,True,True,True,[73 74],[0.8888889 0.00625  ],27,27,7.980160236358643,7.980160236358643,9.111837806826438
118,47,55,0.3000030517578125,True,True,True,[0],[0.72789115],108,136,25.200437545776367,32.94038391113281,44.20935211616453
119,47,89,0.29998779296875,True,True,True,[60 61],[0.91366905 0.01030928],114,136,23.34897232055664,31.630084991455078,40.89803578604856
120,47,90,0.29998779296875,True,True,True,[62 63],[7.1428573e-01 7.0472161e-04],83,83,25.351192474365234,25.351192474365234,33.99360696472238
121,48,63,0.3000030517578125,True,True,True,[83 85],[0.74698794 0.0007776 ],69,142,14.804851531982422,31.356704711914062,45.09032371329665
122,48,100,0.29998779296875,True,True,True,[86],[0.13186814],77,77,11.604300498962402,11.604300498962402,26.098685069223208
123,48,101,0.29998779296875,True,True,True,[ 7 11 12],[0.61538464 0.09558824 0.0072904 ],11,135,1.0838065147399902,34.81316375732422,50.90424028840163
124,48,102,0.2999267578125,True,True,True,[31 32 65],[0.7718121  0.01408451 0.00102564],132,142,32.221771240234375,35.063682556152344,45.5774256283631
125,48,115,0.29998779296875,True,False,True,[98 99],[0.8636364  0.00478469],86,86,19.091934204101562,19.091934204101562,28.917846064396784
126,49,100,0.300018310546875,True,True,True,[ 99 101],[0.85142857 0.00120627],120,163,27.870033264160156,35.92751693725586,45.504494589345306
127,49,117,0.3000030517578125,True,True,True,[49 52],[0.7933884  0.00251151],113,113,34.33831787109375,34.33831787109375,40.03720059470726
128,49,118,0.300048828125,True,True,True,[102],[0.8153846],59,59,22.092927932739258,22.092927932739258,39.15409976149304
